contract_id,shared_address_flag,extracted_companies,extracted_locations
IE_c9d1f42eb14200cd2cb0199e65e9e3ca55ba94e484e55495ee56d53da73f2f04_1,1,"['the School of Cosmic Physics', 'DIAS', 'The School of Theoretical Physics', 'The School of Celtic Studies', 'The Dublin Institute for Advanced Studies', 'the Lviv Centre of Institute of Space Research', 'The School of Cosmic Physics', 'Section']","['Ireland', 'Earth']"
IE_652dcc831e5e13aef877fb6f040d375c0a66e8d80254de297553f185386ce227_1,0,[],[]
IE_cfefe17e5271372012016b3348a295f33af00668a3e92679ee3b88ab5370d894_1,1,"['Wicklow Rural Partnership', 'Teagasc', 'Wicklow Working Together', 'Kildare Chilling Co. Far', 'Irish County Meats', 'Camolin', 'LEADER 2', 'Arklow Community Enterprise.2', 'The National Farm Survey', 'Co. Wicklow', 'Kepak Group', 'The 2000 Census of Agriculture', 'CWP']","['Carlow', 'Wexford', 'Wicklow', 'WicklowWicklow', 'Co. Wicklow', 'Hacketstown']"
IE_fe6077112ab62c0740285a4a3c6259fb503c640dec36ef715806489a9bb00f2a_1,0,['eTenders'],[]
IE_2cb6b7e600e24868f92af9de9281b4833e162ec28a9978fdbbf4835869875307_1,0,"['ECB', 'eTenders', 'NAMA', 'EU Commission', 'NTMA', 'the European Commission']",[]
IE_8e86f7a57f52aac460998302226c6a5bfebc7b6b97a302bfd1e028c416d6dc71_1,0,[],[]
IE_b920e52bc5a70b6a159141dcbb8ca9ead7a2520f4b36964149d57244bf95f5a3_1,0,[],[]
IE_bae1dbcc52b8cd5ee2f138b35e2d8e6b5e636f10abfceaa567cabc89b04bdbda_1,1,"['eTenders', 'Project']","['Fingal', 'Dublin Bay', 'Balbriggan']"
IE_af3eef71761d5c0fc4cafbcd0cf58e49db5b63f99add883c1846971b5cd442e4_1,0,"['RFT', 'eTenders', 'the Joint Committee on Enterprise, Trade and Employment', 'Sub-Committee on Job Creation through Use of Renewable Energy Resources', 'the Joint Committee']",[]
IE_70c4b53c5b6260e8fd7f737a0825589314cfaf574fbcd41a7343ab63f0ec0cca_1,0,[],[]
IE_60ac8cfc55d9036ed8d0109493cb51a4702915d5ecb36b6cccb4d487aa8e5a41_1,0,[],[]
IE_9e5ad3fee749aa606f4e632c9aff8a31b6eb4787c726e53f0eeab648787c39a0_1,0,['the Irish Coast Guard'],[]
IE_62fc96de0ab8ed6f4c4f84ede8188bb4918736a9435c3a8a996189ad3f750f17_1,0,['eTenders'],[]
IE_fdbab2361c32d2442a2fb40a135771ba84bf2cad44f83dc0a09143e8ed9eeb50_1,0,"['IBTS', 'eTenders']",[]
IE_b1873a14ac4988101bb87b451eaa23361659670faa93347226e4eb4650672c80_1,0,[],[]
IE_7b1d6a21732aad69f5eccd0fe8da7c70775fcd1747ee28476346c3b6b8da1ac7_1,0,[],[]
IE_d221c647ef90d271704f42aa7f93823eaff7c6b16ed39d8dfd5aecc767834f56_1,1,[],['Dublin']
IE_d5ab43f87ea0609425e61918ba2ab923ad9b490fd55a4447950e7c7d3cc1cc7a_1,0,['the Reception & Integration Agency'],[]
IE_f9f4352ccbc953efa609c95c54ab33c617fb2b6f116fdb474d885b7c55b13193_1,1,"['National Museum of Ireland', 'NMI', 'eTenders']","['North Co Dublin', 'North County Dublin']"
IE_2fb758c379cfb458a032cae407e4988df8242a64ce4e76e520f098cfc4e12e6a_1,0,"['eTenders', 'Microsoft']",[]
IE_80addb0be888f62be6c6fb314f55314c7b87b19e7ad6a5072d7728c30e258f7b_1,0,[],[]
IE_644012a795f8f639c006373690401ed0815b7ca24236f994201b10f7012ed881_1,1,[],['South Africa']
IE_5cdc581cc8dcbb5448c09f813fa2d7977a73a826b76669bd1279bd3e7dfbbf4e_1,0,"['eTenders', 'NPWS']",[]
IE_7083a39420502e41511fa8fc0abee3935ce4d0604b34d3c63b910d1e33584860_1,0,"['eTenders', 'Central Fisheries Board', 'Microsoft']",[]
IE_52fae3a504994018219e6ae1459698f9e5528dd91e660b35c6e68f31b9c628d0_1,0,[],[]
IE_258b7c9494e4309b15831ec25144fe05c624905e428b7f949283382c0ff36e99_1,0,[],[]
IE_15c1c10b7c3152bf9c7585160bebc53b77e649f57e3547a4c1c3cf3baa55c8f0_1,1,['eTenders'],"['Clondalkin', 'Dublin']"
IE_63597f164fe9f78812a827024c03ed8a5bf4845689718a80a5e35b01a3a7b61f_1,1,[],['Dublin']
IE_e2f0ed4399a73c21d5ae2d53c4afdd766e45ad7b3abae8768cdc581c15ce487c_1,0,[],[]
IE_13fb9fb3502801c0f8a040fee971fada7d72772e546f9143cf30489f261d49c0_1,0,[],[]
IE_3188395c09f1291c455c9105b54b3993e8798d1931437bc3665ac63eb156e0da_1,1,[],['Bohola']
IE_39247c0e40b4a66e25d85102041e960dfde6c4f57591f5a3e71f790aff085d16_1,1,['eTenders'],['LIMERICK COUNTY']
IE_19c256d84bf95268b8be4189496a4053573cb56d6c949eb9e2455e338ef1bb4b_1,1,['eTenders'],"['Fingal', 'County Dublin']"
IE_7653bb3948578d763cd0c2fb758fa0b17de735526785b6f1f73e7ded163328fe_1,0,"['a Java Training Programme', 'eTenders']",[]
IE_cbdf5b1bf4b1a32159a0aeb4539f3c1b3ac466db9e614e2b7568bdf2f71433c4_1,1,['eTenders'],['Galway']
IE_cd5e022fcfa225772a8bd408f4f5681c5d1bb9efbcc9147426f72d37b179b242_1,1,['Bawnogue Deansrath SCP'],['County Dublin VEC.NOTE']
IE_ad17046fbc993a9e58e80fe08e7ed073ba6e08872ecdd354b80ed3045cee5e7a_1,0,"['The Events Industry Skillnet', 'EIS', 'the Events Industry', 'the Events Industry Skillnet']",[]
IE_53321884cc7680ccc143ae7bcb3deee1b11937e2ad82f7cf3c6c3e48cfb0f3b8_1,0,['eTenders'],[]
IE_f145ed4b1acb5a5de8f0d0f0b0065ba069d9a2767aaf47ae98b26c6016e2b8d1_1,0,['Letterkenny General Hospital'],[]
IE_8a074a862c08ab788fb62a978e2dc66757b1c4de8c67db305611c6d25c34f28d_1,0,['eTenders'],[]
EU_b9709fec4f2e10b65de0caa55d0218e5d59a7e6b78992bbfa2342ef64b273a3e_1,1,[],['Dublin']
IE_7036ad36813cd8c20fae59e254afcf2a2307d86d56ce173ae0f7b8e9392341d3_1,0,['The National Building Agency Ltd'],[]
IE_25b9ac4ce71f4024749a53063b5efb52fc1a7838db5c4e12ed48ee787f24a7d0_1,1,['Works'],"['Brownsgrove', 'Tuam', 'Galway', 'Co.', 'Killeenan More']"
IE_45fb7dc5839e261951737de5b5bd89a3099fa8cada11d61d9d5983bd89125154_1,0,['the Summit Finuas Network'],[]
IE_32b631f117d854311bdf217d9ca8f16f0c01c741e426b373b831278379f0760c_1,0,['Consolidated Press Monitoring Services'],[]
IE_467dd5f85d29edb845b24efd82f589e5c742be00ad4380d5c6d8480aa3b922ff_1,0,['eTenders'],[]
IE_2383e8513944be5a98d0e1a57fd575d91dfe37091914127fdc83f83fa3ad5c12_1,1,"['eTenders', 'fromBrigid JohnsonWaterways', 'Waterways Ireland']","['Dublin', 'Tullamore', 'Co. Offaly']"
IE_9eff4357f7f742d09c522391d00c7287c421327202f1de9a9cf0dc6a3e22313d_1,0,['Fáilte Ireland'],[]
IE_f75052aa22e6945b49699286cb87584fcb6cea1be2b222725eb3cd353b1a0f83_1,0,['Cervical Cytology Laboratory'],[]
IE_d1b2533f1d1c1b1ac350acb8efaa2ad44d8dc0826d590437811e21965ff69027_1,1,"['eTenders', ""the National Children's Hospital"", 'Hospital', 'The Adelaide and Meath Hospital', 'AMNCH']",['Dublin']
IE_a78101dfb6470dab3af1c854a3f42c9c6b75e4ce24636862d7acf7c5981e3ebf_1,0,"['DCU', 'eTenders']",[]
IE_6939574e0038effca7ca7d6d96b9054cbd09021c8ce0863e46096030327dfa30_1,0,"['the Irish Defence Forces', 'eTenders']",[]
IE_fdc2157176b62af97a314510fc3bad2f580edf48d3f8b97d6eee5047c6b0d99f_1,1,"['IDA', 'eTenders']","['Ringaskiddy', 'Cork']"
IE_32ce76dc37e2d4011de346ce016a6d06fe65afcca04e527b359f2a005ebc7ce0_1,0,"['the Provision of A Amenity Market Size Research 2009', 'eTenders', 'the Irish Food Board', 'Bord Bia']",[]
IE_600037d5b1b8ae9ea0f9927f0f3a86cbb2672b14595470d1c6749e993336b1f8_1,0,"['eTenders', 'NDA']",[]
IE_fe700c585bc77b1b614b6db9f7a0bda8f1112b758d026770c3e3e187605683c7_1,0,"['eTenders', 'Pest Control Services']",[]
EU_a1db1df3d6cfe59414e506140a7d6ef5d4d7bd6b560bcd8e3655e8ca22dbf6a9_1,1,['Volvo'],['Dublin']
IE_e96d27144cfaa2b3478c7b38f62b1b1ad18e0eed448500fe698a5d55dd4e1769_1,0,"['eTenders', 'the Irish Museum of Modern Art', 'the Royal Hospital Kilmainham']",[]
IE_93f7d8f06f37f35ff2dcdbf61c3e077cd9850a44eb6dbe31009efc99cf350a3d_1,0,['eTenders'],[]
EU_4d034012d3bbc2896f0138da65af31e7ba1775b16302e383258973391adf3c4b_1,1,"['Fingal County Council', 'Contracting Authority Fingal County Council', 'the Contracting Authority', 'Dublin City Council', 'Irish Government', 'GDRDP']","['Dun Laoghaire-Rathdown', 'the Greater Dublin Area', 'Fingal', 'Greater Dublin', 'Kildare', 'Meath', 'South Dublin']"
IE_fd2480e94ddf48619a4be72fec71bc17b47ee1ac52bcc500fc47a865fc9f50e7_1,0,[],[]
IE_89b70ee32ba332d0fbb25f1e8046d72216512601e2bea66e3758e1edadfce030_1,0,['eTenders'],['Moyross Limerick']
IE_6bae201b64a77705f13fb4ad624ec48bea9049e086742d023b70591511d841d3_1,0,"['eTenders', 'NMI']",[]
IE_438fae53fd1f961388dd4876979f938a50e5ddf53758952d15913ca36b2a7cf8_1,0,['eTenders'],[]
IE_67b22361831b80536abb3c5bdd6fb377e7b373e50293ae664375ee64f12fb0af_1,1,[],"['Leixlip', 'Lough na Mona']"
IE_0e56354afc5e554dad9188af049bfabe91ef8fc65e780844bef5078fe75e717f_1,0,[],[]
IE_13a17e9a4c29b95cfff73507b997d543e1395da72c3294d8f3c551f080a1852a_1,0,[],[]
IE_c2f8b520a71e2014eb03c69ec2a5666de19aebab625f4f3423352dd5b50f4dc4_1,1,"['Marine Institute', 'eTenders', 'General Building Maintenance Services', 'The Marine Institute']","['Co. Galway', 'Oranmore', 'Rinville']"
IE_df419fa1c0282cee6e79be573b6da5f915fbde8d62aba6d08ea61262e281c0f3_1,0,[],[]
IE_3656d4b031d1e6b15d27b65aeda2c9ba6c2d13096874ea1d9920436b4c4aaca9_1,0,[],[]
IE_01611cea3f4f2b7695facf95bddaf770721960b9aa405218983c702d0600f0d5_1,0,[],[]
IE_17b610df79192aa8e92a5856a17e4ad260da2664b38e6730e8c6aad26b4db508_1,0,"['the Irish Defence ForcesNOTE', 'eTenders']",[]
IE_52111e85f201f8a7997032e54cb5eb483b14089b7c9eaa567b7d57ba358625b8_1,0,"['eTenders', 'the Road Safety Authority']",[]
IE_c8862f78c3653f32ca3a89efc9fa593881621575f628aa509250aa3db7510e50_1,0,['RSA'],[]
IE_21da34b6c8677c0eae2d65c234dfe1fa3d23338c01b819eb05c81e73a710af39_1,0,"['eTenders', 'City of Cork Vocational Education Committee']",[]
IE_e85a67c31df341cc202cb1bf4d42ac7b060b571b363bd63ac13dd763f48b8f01_1,0,"['eTenders', 'The Rotunda Hospital']",[]
IE_7e59d9b3d5b3a4f256672f557047f6b2aa515596c7b9c26ab141732923336150_1,0,['eTenders'],[]
IE_080f0ba00fb459f4edb7700d18b65bcb66e3eec580a2d2dbe6afbb623440a615_1,0,[],[]
IE_2f4bdddb8d9e17d52ec2647d557b0379f1a430eb90e6ff46460859f4479a9e0a_1,0,"['Galway City Council', 'eTenders']",[]
IE_36cee682315418f8e109207c97b2166f67d19cdc750aced660f9ce99b63b4534_1,0,"['the Department of Justice, Equality and Law Reform', 'eTenders', 'System Support Services', 'Courts', 'IPS', 'the Irish Prison Service']",[]
IE_1f9620d2b042ff2f0360e12573ce5389fec4cc5d9936d8da4a8ce1493190cfa8_1,0,[],[]
IE_43b76f70d61e2e4733f56ea76308a5fdf3aa9033ed606925c2aa1fd3c357e55d_1,0,[],[]
IE_d8b869e907104b9298b0ae25f27b32abb56dd0caeff1e254109e00997b62a585_1,0,"['EPA', 'eTenders']",[]
IE_917c19dc02f2fb1c7b62484345d4e6720a390f091edf63a74c62a30fba34301b_1,1,[],['Dublin']
IE_0e890876c63b39f0314aa614edb1da42522fcfe70e5cd991e10dd8d0dc984e3b_1,0,[],[]
IE_8c5bece61c8d2fe43a7ed44e9320725b078903a7b429cd89c091a66072e4b282_1,0,[],[]
IE_2028e3e0b03350e7cbc2a46e5ea915e75df1be1ccd19c66f0eccd93dd6d27a57_1,0,[],[]
IE_8f7d8ba90ae9f37380de1c55c3cbda428888a0f26097221c5dffc8fc6377adb0_1,1,"['the National Tourism Development Authority', 'Fáilte Ireland', 'eTenders', 'The Golf Industry']",['Ireland']
IE_071cc0a552a1e00fe2342b6fb568055ddb3a900372f255c8b1043bb9b86e0e21_1,1,['Cork County Council'],"['Glenville', 'County Cork']"
IE_7c74f75cea13c68d2920aaa3244e722b10340b8744253fc8499d264c488d2dc7_1,1,"['eTenders', 'Contactor', 'The Health and Safety Authority', 'Authority', 'the Health and Safety Authority', 'ITT']",['Ireland']
IE_e13388f4807003390117cdfb3196b1a1119cb066ce0265ae9cabacae4284a5b5_1,0,['eTenders'],[]
IE_15975a3746d5647bf65e349440d79d81c5bb04466cecc3d3811094008cae7a4d_1,0,['Cisco'],[]
IE_72a5640e6ef8df94f5998396c61805a9a911d119b644466f2c8f417843c47bf9_1,1,"['the Fingal Business Network', 'a Start Up Business Network', 'FINGAL COUNTY ENTERPRISE BOARDFingal Business Network', 'Fingal', 'The Fingal County Enterprise Board', '2009Fingal County Enterprise Board', 'FCEB']",['Fingal']
IE_b34a02bd4c3478050a28512b034548c2e4720072e3ceccb3bfcb4271420c4113_1,1,[],"['Listowel', 'Shannon Free Zone', 'Co.', 'TipperaryNOTE', 'LimerickKTP', 'Thurles', 'Co. KerryTTP', 'Tralee', 'Co. KerryListowel', 'Plassey']"
IE_7bdbbb69d0c67cd48999dc0378fefda790988623572729cf763d6736f1d8aada_1,0,"['Railway Procurement Agency', 'RPA', 'eTenders']",[]
IE_148331b3296b350ff157a613d18a82f4044afa791444f6a118fc66635f907d4a_1,0,['National Car Testing Services'],[]
IE_98db9de1ef3d28baf29f790603dd6195fb1d3bf9e451d18d477145185a2df4bf_1,0,['the Donegal National Roads Design OfficeNOTE'],[]
IE_d3977914183e0bcaae7e45912843fb30b0ec9e5eaf7b586e74baf876f90db02f_1,0,[],[]
IE_f18f8a2b15a4ae24c8f3ac5dab45386d3179011ca5397d1c375cbda64ed83361_1,0,['eTenders'],[]
IE_c79f3fab5103d0a1bb09d4a001c5446e7b5e26df0ef58f25f77c314ce93eacb4_1,0,"['eTenders', 'The National Disability Authority', 'NDA']",[]
IE_903132701d80e82c428d041377f008948783fe6c5dec42d9976041bfa8792b09_1,0,"['eTenders', 'Youghal Town Council']",[]
IE_d30407a0d95a5bce35ef940c78db2514fb5e39e201c9bb49a7689f92a8955b40_1,0,[],[]
IE_f6675abbbf5afc5dbd87b464e9b128cc84d0247fcad1a31714b790cbc18bf683_1,0,['eTenders'],[]
IE_8db03c92edde392f01510c8274b5f92edcc55aa57ab5cd301fe2558d7cba1b6f_1,0,['Managed Student Imaging Service'],[]
IE_7db4463af430857ae33ccd7b3a050edd47ba1d4982cf774dc54d8e82ab159794_1,0,[],[]
IE_fccfbeb116ef2e4ca8dc04e4210688b502fc4019e7d2c7269a5938bfef0fbcdd_1,0,[],[]
IE_a13cf79d9b8589091449369fcdacb9c59e584bd96b1d918a548d68e3f3605017_1,0,[],[]
IE_f083176fc1b8cc2fbfea2c6d83fc107ff428bcd557a40fa94368894aade15a71_1,1,['eTenders'],"['County', 'Galway County Council']"
IE_fffe63cfda2adfec7a1ec852fa862c2b701abe5aecbd25b85e86ef390847ba4c_1,0,[],[]
IE_d4c8281dacbbcc02ad980a89e3e3d84811bb6a76541acae19819dab273907181_1,0,[],[]
IE_f8cd79571af157b186da19964001c1b4fa768b6a838b6e9832e4f126317ac637_1,0,['eTenders'],[]
IE_d44658c67e8c311ed7e710504831b2496a11ca8c9fb5aa154a30050431aad368_1,0,[],[]
